,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,6386,657.76,28,0.44%,0,0.00%
18-44,183183,25209,1376.16,191,0.76%,14,0.06%
45-64,116628,13478,1155.64,397,2.95%,101,0.75%
65-74,46724,3758,804.30,319,8.49%,146,3.89%
75+,31987,2634,823.46,480,18.22%,387,14.69%
,,,,,,,
Females,244460,27208,1112.98,713,2.62%,292,1.07%
Males,231149,23927,1035.13,699,2.92%,356,1.49%
Unknown,N/A,330,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,625,532.50,15,2.40%,6,0.96%
Black,42291,3934,930.22,164,4.17%,46,1.17%
White,408000,39325,963.85,1179,3.00%,564,1.43%
Hawaiian/Pacific Islander,585,64,1094.02,4,6.25%,0,0.00%
Other ,12996,1800,1385.04,23,1.28%,4,0.22%
Unknown,N/A,5717,N/A,30,0.52%,28,0.49%
,,,,,,,
Hispanic,22336,2777,1243.28,74,2.66%,6,0.22%
Non-Hispanic,453273,39385,868.90,1283,3.26%,583,1.48%
Unknown,N/A,9303,N/A,58,0.62%,59,0.63%
,,,,,,,
Total,"475,609",51465,1082.09,1415,2.75%,648,1.26%
