,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1807,186.62,12,0.66%,0,0.00%,,,
18-44,"173,546",9417,542.62,121,1.28%,5,0.05%,,,
45-64,"116,740",4008,343.33,174,4.34%,23,0.57%,,,
65-74,"40,633",1088,267.76,95,8.73%,34,3.13%,,,
75+,"28,440",734,258.09,138,18.80%,76,10.35%,,,
,,,,,,,,,,
Females,242211,8870,366.21,275,3.10%,49,0.55%,,,
Males,228102,8035,352.25,263,3.27%,89,1.11%,,,
Unknown,N/A,149,N/A,1,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,178,157.70,4,2.25%,0,0.00%,,,
Black,41858,1397,333.75,85,6.08%,17,1.22%,,,
White,404469,12478,308.50,424,3.40%,110,0.88%,,,
Hawaiian/Pacific Islander,470,32,680.85,4,12.50%,0,0.00%,,,
Other ,12229,637,520.89,13,2.04%,2,0.31%,,,
Unknown,N/A,2332,N/A,10,0.43%,9,0.39%,,,
,,,,,,,,,,
Hispanic,20694,1410,681.36,49,3.48%,4,0.28%,,,
Non-Hispanic,449619,12688,282.19,479,3.78%,118,0.93%,,,
Unknown,N/A,2956,N/A,12,0.41%,16,0.54%,,,
,,,,,,,,,,
Total,"470,313",17054,362.61,540,3.17%,138,0.81%,,,
