,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",4328,446.99,23,0.53%,0,0.00%,,,
18-44,"173,546",19438,1120.05,146,0.75%,10,0.05%,,,
45-64,"116,740",10274,880.08,273,2.66%,54,0.53%,,,
65-74,"40,633",2898,713.21,208,7.18%,89,3.07%,,,
75+,"28,440",2118,744.73,338,15.96%,233,11.00%,,,
,,,,,,,,,,
Females,242211,20613,851.03,499,2.42%,165,0.80%,,,
Males,228102,18072,792.28,487,2.69%,221,1.22%,,,
Unknown,N/A,371,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,400,354.39,9,2.25%,3,0.75%,,,
Black,41858,2750,656.98,116,4.22%,28,1.02%,,,
White,404469,27915,690.16,812,2.91%,308,1.10%,,,
Hawaiian/Pacific Islander,470,43,914.89,4,9.30%,1,2.33%,,,
Other ,12229,875,715.51,15,1.71%,3,0.34%,,,
Unknown,N/A,7073,N/A,32,0.45%,43,0.61%,,,
,,,,,,,,,,
Hispanic,20694,2115,1022.04,60,2.84%,9,0.43%,,,
Non-Hispanic,449619,26088,580.22,878,3.37%,329,1.26%,,,
Unknown,N/A,10853,N/A,50,0.46%,48,0.44%,,,
,,,,,,,,,,
Total,"470,313",39056,830.43,988,2.53%,386,0.99%,,,
