,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,
0-17,"96,826",6332,653.96,28,0.44%,0,0.00%,,
18-44,"173,546",25374,1462.09,189,0.74%,12,0.05%,,
45-64,"116,740",13590,1164.13,389,2.86%,94,0.69%,,
65-74,"40,633",3765,926.59,315,8.37%,144,3.82%,,
75+,"28,440",2653,932.84,476,17.94%,384,14.47%,,
,,,,,,,,,
Females,242211,27350,1129.18,697,2.55%,288,1.05%,,
Males,228102,24015,1052.82,696,2.90%,346,1.44%,,
Unknown,N/A,349,N/A,4,0.00%,0,0.00%,,
,,,,,,,,,
Asian,11287,634,561.71,14,2.21%,5,0.79%,,
Black,41858,3890,929.33,160,4.11%,42,1.08%,,
White,404469,39410,974.36,1165,2.96%,556,1.41%,,
Hawaiian/Pacific Islander,470,63,1340.43,4,6.35%,0,0.00%,,
Other ,12229,1770,1447.38,22,1.24%,3,0.17%,,
Unknown,N/A,5947,N/A,32,0.54%,28,0.47%,,
,,,,,,,,,
Hispanic,20694,2774,1340.49,72,2.60%,6,0.22%,,
Non-Hispanic,449619,39328,874.70,1266,3.22%,569,1.45%,,
Unknown,N/A,9612,N/A,59,0.61%,59,0.61%,,
,,,,,,,,,
Total,"470,313",51714,1099.57,1397,2.70%,634,1.23%,,
