,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1405,145.11,11,0.78%,0,0.00%,,,
18-44,"173,546",7618,438.96,110,1.44%,5,0.07%,,,
45-64,"116,740",3012,258.01,157,5.21%,21,0.70%,,,
65-74,"40,633",796,195.90,79,9.92%,25,3.14%,,,
75+,"28,440",508,178.62,99,19.49%,50,9.84%,,,
,,,,,,,,,,
Females,242211,6910,285.29,240,3.47%,37,0.54%,,,
Males,228102,6347,278.25,215,3.39%,64,1.01%,,,
Unknown,N/A,82,N/A,1,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,143,126.69,3,2.10%,0,0.00%,,,
Black,41858,1238,295.76,84,6.79%,16,1.29%,,,
White,404469,9792,242.10,344,3.51%,81,0.83%,,,
Hawaiian/Pacific Islander,470,30,638.30,4,13.33%,0,0.00%,,,
Other ,12229,510,417.04,13,2.55%,2,0.39%,,,
Unknown,N/A,1626,N/A,8,0.49%,2,0.12%,,,
,,,,,,,,,,
Hispanic,20694,1301,628.68,49,3.77%,4,0.31%,,,
Non-Hispanic,449619,10145,225.64,395,3.89%,90,0.89%,,,
Unknown,N/A,1893,N/A,12,0.63%,7,0.37%,,,
,,,,,,,,,,
Total,"470,313",13339,283.62,456,3.42%,101,0.76%,,,
