,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,10675,1099.53,35,0.33%,0,0.00%
18-44,183183,31429,1715.72,216,0.69%,19,0.06%
45-64,116628,16231,1391.69,434,2.67%,124,0.76%
65-74,46724,4417,945.34,379,8.58%,169,3.83%
75+,31987,3026,946.01,536,17.71%,410,13.55%
,,,,,,,
Females,244460,34832,1424.85,798,2.29%,319,0.92%
Males,231149,30370,1313.87,799,2.63%,403,1.33%
Unknown,N/A,576,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,711,605.78,16,2.25%,6,0.84%
Black,42291,5406,1278.29,195,3.61%,58,1.07%
White,408000,47534,1165.05,1323,2.78%,625,1.31%
Hawaiian/Pacific Islander,585,79,1350.43,4,5.06%,0,0.00%
Other ,12996,3025,2327.64,28,0.93%,5,0.17%
Unknown,N/A,9023,N/A,34,0.38%,28,0.31%
,,,,,,,
Hispanic,22336,3125,1399.09,77,2.46%,10,0.32%
Non-Hispanic,453273,46635,1028.85,1450,3.11%,650,1.39%
Unknown,N/A,16018,N/A,73,0.46%,62,0.39%
,,,,,,,
Total,"475,609",65778,1383.03,1600,2.43%,722,1.10%
