,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1841,190.13,12,0.65%,0,0.00%,,,
18-44,"173,546",9587,552.42,121,1.26%,5,0.05%,,,
45-64,"116,740",4103,351.46,175,4.27%,25,0.61%,,,
65-74,"40,633",1108,272.68,96,8.66%,36,3.25%,,,
75+,"28,440",753,264.77,139,18.46%,80,10.62%,,,
,,,,,,,,,,
Females,242211,9053,373.77,279,3.08%,53,0.59%,,,
Males,228102,8199,359.44,262,3.20%,93,1.13%,,,
Unknown,N/A,140,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,186,164.79,5,2.69%,1,0.54%,,,
Black,41858,1412,337.33,86,6.09%,17,1.20%,,,
White,404469,12664,313.10,426,3.36%,116,0.92%,,,
Hawaiian/Pacific Islander,470,35,744.68,4,11.43%,0,0.00%,,,
Other ,12229,635,519.26,13,2.05%,2,0.31%,,,
Unknown,N/A,2460,N/A,9,0.37%,10,0.41%,,,
,,,,,,,,,,
Hispanic,20694,1418,685.22,49,3.46%,4,0.28%,,,
Non-Hispanic,449619,12838,285.53,483,3.76%,125,0.97%,,,
Unknown,N/A,3136,N/A,11,0.35%,17,0.54%,,,
,,,,,,,,,,
Total,"470,313",17392,369.80,543,3.12%,146,0.84%,,,
