,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",693,71.57,7,1.01%,0,0.00%,,,
18-44,"173,546",3879,223.51,72,1.86%,5,0.13%,,,
45-64,"116,740",1536,131.57,99,6.45%,16,1.04%,,,
65-74,"40,633",366,90.07,34,9.29%,11,3.01%,,,
75+,"28,440",242,85.09,52,21.49%,25,10.33%,,,
,,,,,,,,,,
Females,242211,3414,140.95,136,3.98%,21,0.62%,,,
Males,228102,3256,142.74,128,3.93%,36,1.11%,,,
,,,,,,,,,,
Asian,11287,61,54.04,2,3.28%,0,0.00%,,,
Black,41858,792,189.21,56,7.07%,10,1.26%,,,
White,404469,4639,114.69,186,4.01%,38,0.82%,,,
Hawaiian/Pacific Islander,470,20,425.53,4,20.00%,0,0.00%,,,
Other ,12229,364,297.65,8,2.20%,2,0.55%,,,
Unknown,N/A,840,N/A,8,0.95%,7,0.83%,,,
,,,,,,,,,,
Hispanic,20694,961,464.39,45,4.68%,5,0.52%,,,
Non-Hispanic,449619,4753,105.71,212,4.46%,41,0.86%,,,
Unknown,N/A,1002,N/A,7,0.70%,11,1.10%,,,
,,,,,,,,,,
Total,"470,313",6716,142.80,264,3.93%,57,0.85%,,,
