,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,13101,1349.41,47,0.36%,0,0.00%
18-44,183183,35897,1959.63,240,0.67%,37,0.10%
45-64,116628,18682,1601.85,476,2.55%,168,0.90%
65-74,46724,5084,1088.09,459,9.03%,209,4.11%
75+,31987,3431,1072.62,621,18.10%,448,13.06%
,,,,,,,
Females,244460,40295,1648.33,924,2.29%,383,0.95%
Males,231149,35196,1522.65,916,2.60%,479,1.36%
Unknown,N/A,704,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,790,673.09,18,2.28%,7,0.89%
Black,42291,6341,1499.37,229,3.61%,78,1.23%
White,408000,54487,1335.47,1524,2.80%,743,1.36%
Hawaiian/Pacific Islander,585,89,1521.37,4,4.49%,0,0.00%
Other ,12996,3781,2909.36,31,0.82%,5,0.13%
Unknown,N/A,10707,N/A,37,0.35%,29,0.27%
,,,,,,,
Hispanic,22336,3423,1532.50,82,2.40%,11,0.32%
Non-Hispanic,453273,53235,1174.46,1674,3.14%,781,1.47%
Unknown,N/A,19537,N/A,87,0.45%,70,0.36%
,,,,,,,
Total,"475,609",76195,1602.05,1843,2.42%,862,1.13%
