,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,7138,735.22,31,0.43%,0,0.00%
18-44,183183,27421,1496.92,207,0.75%,15,0.05%
45-64,116628,14447,1238.72,414,2.87%,109,0.75%
65-74,46724,4027,861.87,342,8.49%,152,3.77%
75+,31987,2780,869.10,503,18.09%,395,14.21%
,,,,,,,
Females,244460,29496,1206.58,752,2.55%,300,1.02%
Males,231149,25913,1121.05,742,2.86%,371,1.43%
Unknown,N/A,404,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,649,552.95,15,2.31%,6,0.92%
Black,42291,4380,1035.68,176,4.02%,47,1.07%
White,408000,42054,1030.74,1244,2.96%,585,1.39%
Hawaiian/Pacific Islander,585,71,1213.68,4,5.63%,0,0.00%
Other ,12996,2083,1602.80,26,1.25%,5,0.24%
Unknown,N/A,6576,N/A,32,0.49%,28,0.43%
,,,,,,,
Hispanic,22336,2852,1276.86,76,2.66%,7,0.25%
Non-Hispanic,453273,41637,918.59,1356,3.26%,604,1.45%
Unknown,N/A,11324,N/A,65,0.57%,60,0.53%
,,,,,,,
Total,"475,609",55813,1173.51,1497,2.68%,671,1.20%
