,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,12182,1254.75,44,0.36%,0,0.00%
18-44,183183,34058,1859.23,220,0.65%,25,0.07%
45-64,116628,17624,1511.13,445,2.52%,141,0.80%
65-74,46724,4778,1022.60,423,8.85%,192,4.02%
75+,31987,3221,1006.97,580,18.01%,423,13.13%
,,,,,,,
Females,244460,38087,1558.01,864,2.27%,348,0.91%
Males,231149,33165,1434.79,845,2.55%,433,1.31%
Unknown,N/A,611,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,757,644.97,16,2.11%,6,0.79%
Black,42291,5853,1383.98,211,3.60%,67,1.14%
White,408000,51108,1252.65,1417,2.77%,674,1.32%
Hawaiian/Pacific Islander,585,86,1470.09,4,4.65%,0,0.00%
Other ,12996,3409,2623.11,29,0.85%,5,0.15%
Unknown,N/A,10650,N/A,35,0.33%,29,0.27%
,,,,,,,
Hispanic,22336,3278,1467.59,81,2.47%,11,0.34%
Non-Hispanic,453273,49354,1088.84,1549,3.14%,704,1.43%
Unknown,N/A,19231,N/A,82,0.43%,66,0.34%
,,,,,,,
Total,"475,609",71863,1510.97,1712,2.38%,781,1.09%
