,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5523,570.40,25,0.45%,0,0.00%,,,
18-44,"173,546",22684,1307.09,165,0.73%,11,0.05%,,,
45-64,"116,740",12133,1039.32,328,2.70%,78,0.64%,,,
65-74,"40,633",3441,846.85,276,8.02%,126,3.66%,,,
75+,"28,440",2514,883.97,439,17.46%,313,12.45%,,,
,,,,,,,,,,
Females,242211,24476,1010.52,623,2.55%,237,0.97%,,,
Males,228102,21449,940.32,607,2.83%,291,1.36%,,,
Unknown,N/A,370,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,553,489.94,12,2.17%,4,0.72%,,,
Black,41858,3385,808.69,134,3.96%,33,0.97%,,,
White,404469,34437,851.41,1029,2.99%,440,1.28%,,,
Hawaiian/Pacific Islander,470,55,1170.21,0,0.00%,1,1.82%,,,
Other ,12229,1482,1211.87,20,1.35%,3,0.20%,,,
Unknown,N/A,6383,N/A,38,0.60%,47,0.74%,,,
,,,,,,,,,,
Hispanic,20694,2528,1221.61,69,2.73%,10,0.40%,,,
Non-Hispanic,449619,33448,743.92,1099,3.29%,453,1.35%,,,
Unknown,N/A,10319,N/A,65,0.63%,65,0.63%,,,
,,,,,,,,,,
Total,"470,313",46295,984.34,1233,2.66%,528,1.14%,,,
