,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,6653,685.26,30,0.45%,0,0.00%
18-44,183183,26082,1423.82,201,0.77%,15,0.06%
45-64,116628,13843,1186.94,409,2.95%,105,0.76%
65-74,46724,3855,825.06,330,8.56%,149,3.87%
75+,31987,2698,843.47,491,18.20%,389,14.42%
,,,,,,,
Females,244460,28098,1149.39,737,2.62%,296,1.05%
Males,231149,24698,1068.49,721,2.92%,362,1.47%
Unknown,N/A,335,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,634,540.17,15,2.37%,6,0.95%
Black,42291,4111,972.07,171,4.16%,47,1.14%
White,408000,40476,992.06,1215,3.00%,573,1.42%
Hawaiian/Pacific Islander,585,70,1196.58,4,5.71%,0,0.00%
Other ,12996,1896,1458.91,25,1.32%,4,0.21%
Unknown,N/A,5944,N/A,31,0.52%,28,0.47%
,,,,,,,
Hispanic,22336,2816,1260.74,76,2.70%,7,0.25%
Non-Hispanic,453273,40276,888.56,1323,3.28%,591,1.47%
Unknown,N/A,10039,N/A,62,0.62%,60,0.60%
,,,,,,,
Total,"475,609",53131,1117.12,1461,2.75%,658,1.24%
