,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,
0-17,"96,826",6302,650.86,28,0.44%,0,0.00%,,
18-44,"173,546",25308,1458.29,188,0.74%,12,0.05%,,
45-64,"116,740",13553,1160.96,388,2.86%,93,0.69%,,
65-74,"40,633",3758,924.86,313,8.33%,144,3.83%,,
75+,"28,440",2652,932.49,475,17.91%,384,14.48%,,
,,,,,,,,,
Females,242211,27274,1126.04,695,2.55%,288,1.06%,,
Males,228102,23950,1049.97,693,2.89%,345,1.44%,,
Unknown,N/A,349,N/A,4,0.00%,0,0.00%,,
,,,,,,,,,
Asian,11287,634,561.71,14,2.21%,5,0.79%,,
Black,41858,3878,926.47,160,4.13%,42,1.08%,,
White,404469,39285,971.27,1160,2.95%,555,1.41%,,
Hawaiian/Pacific Islander,470,63,1340.43,4,6.35%,0,0.00%,,
Other ,12229,1775,1451.47,22,1.24%,3,0.17%,,
Unknown,N/A,5938,N/A,32,0.54%,28,0.47%,,
,,,,,,,,,
Hispanic,20694,2767,1337.10,72,2.60%,6,0.22%,,
Non-Hispanic,449619,39192,871.67,1259,3.21%,568,1.45%,,
Unknown,N/A,9614,N/A,61,0.63%,59,0.61%,,
,,,,,,,,,
Total,"470,313",51573,1096.57,1392,2.70%,633,1.23%,,
