,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1137,117.43,10,0.88%,0,0.00%,,,
18-44,"173,546",6490,373.96,100,1.54%,5,0.08%,,,
45-64,"116,740",2320,198.73,132,5.69%,20,0.86%,,,
65-74,"40,633",608,149.63,64,10.53%,21,3.45%,,,
75+,"28,440",374,131.50,79,21.12%,39,10.43%,,,
,,,,,,,,,,
Females,242211,5636,232.69,202,3.58%,29,0.51%,,,
Males,228102,5236,229.55,183,3.50%,56,1.07%,,,
Unknown,N/A,57,N/A,0,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,130,115.18,2,1.54%,0,0.00%,,,
Black,41858,1077,257.30,76,7.06%,14,1.30%,,,
White,404469,8160,201.75,286,3.50%,67,0.82%,,,
Hawaiian/Pacific Islander,470,28,595.74,4,14.29%,0,0.00%,,,
Other ,12229,470,384.33,10,2.13%,2,0.43%,,,
Unknown,N/A,1064,N/A,7,0.66%,2,0.19%,,,
,,,,,,,,,,
Hispanic,20694,1210,584.71,48,3.97%,4,0.33%,,,
Non-Hispanic,449619,8501,189.07,327,3.85%,75,0.88%,,,
Unknown,N/A,1218,N/A,10,0.82%,6,0.49%,,,
,,,,,,,,,,
Total,"470,313",10929,232.38,385,3.52%,85,0.78%,,,
