,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5402,557.91,24,0.44%,0,0.00%,,,
18-44,"173,546",22301,1285.02,163,0.73%,11,0.05%,,,
45-64,"116,740",11919,1020.99,323,2.71%,78,0.65%,,,
65-74,"40,633",3391,834.54,267,7.87%,122,3.60%,,,
75+,"28,440",2476,870.60,430,17.37%,306,12.36%,,,
,,,,,,,,,,
Females,242211,24077,994.05,614,2.55%,233,0.97%,,,
Males,228102,21044,922.57,590,2.80%,284,1.35%,,,
Unknown,N/A,368,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,541,479.31,12,2.22%,4,0.74%,,,
Black,41858,3317,792.44,132,3.98%,33,0.99%,,,
White,404469,33641,831.73,1006,2.99%,429,1.28%,,,
Hawaiian/Pacific Islander,470,60,1276.60,4,6.67%,1,1.67%,,,
Other ,12229,1454,1188.98,19,1.31%,3,0.21%,,,
Unknown,N/A,6476,N/A,34,0.53%,47,0.73%,,,
,,,,,,,,,,
Hispanic,20694,2493,1204.70,67,2.69%,10,0.40%,,,
Non-Hispanic,449619,32360,719.72,1074,3.32%,442,1.37%,,,
Unknown,N/A,10636,N/A,66,0.62%,65,0.61%,,,
,,,,,,,,,,
Total,"470,313",45489,967.21,1207,2.65%,517,1.14%,,,
