,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1162,120.01,10,0.86%,0,0.00%,,,
18-44,"173,546",6602,380.42,102,1.54%,5,0.08%,,,
45-64,"116,740",2361,202.24,136,5.76%,20,0.85%,,,
65-74,"40,633",624,153.57,64,10.26%,21,3.37%,,,
75+,"28,440",379,133.26,80,21.11%,40,10.55%,,,
,,,,,,,,,,
Females,242211,5743,237.11,205,3.57%,29,0.50%,,,
Males,228102,5327,233.54,187,3.51%,57,1.07%,,,
Unknown,N/A,58,N/A,0,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,132,116.95,2,1.52%,0,0.00%,,,
Black,41858,1099,262.55,78,7.10%,14,1.27%,,,
White,404469,8341,206.22,291,3.49%,68,0.82%,,,
Hawaiian/Pacific Islander,470,28,595.74,4,14.29%,0,0.00%,,,
Other ,12229,472,385.97,10,2.12%,2,0.42%,,,
Unknown,N/A,1056,N/A,7,0.66%,2,0.19%,,,
,,,,,,,,,,
Hispanic,20694,1221,590.03,48,3.93%,4,0.33%,,,
Non-Hispanic,449619,8721,193.96,334,3.83%,76,0.87%,,,
Unknown,N/A,1186,N/A,10,0.84%,6,0.51%,,,
,,,,,,,,,,
Total,"470,313",11128,236.61,392,3.52%,86,0.77%,,,
