,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1518,156.78,11,0.72%,0,0.00%,,,
18-44,"173,546",8056,464.20,113,1.40%,5,0.06%,,,
45-64,"116,740",3249,278.31,163,5.02%,21,0.65%,,,
65-74,"40,633",861,211.90,84,9.76%,25,2.90%,,,
75+,"28,440",562,197.61,117,20.82%,58,10.32%,,,
,,,,,,,,,,
Females,242211,7340,303.04,255,3.47%,38,0.52%,,,
Males,228102,6693,293.42,232,3.47%,69,1.03%,,,
Unknown,N/A,88,N/A,1,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,146,129.35,3,2.05%,0,0.00%,,,
Black,41858,1297,309.86,84,6.48%,16,1.23%,,,
White,404469,10567,261.26,375,3.55%,90,0.85%,,,
Hawaiian/Pacific Islander,470,30,638.30,4,13.33%,0,0.00%,,,
Other ,12229,533,435.85,13,2.44%,2,0.38%,,,
Unknown,N/A,1673,N/A,9,0.54%,1,0.06%,,,
,,,,,,,,,,
Hispanic,20694,1340,647.53,49,3.66%,4,0.30%,,,
Non-Hispanic,449619,10928,243.05,428,3.92%,98,0.90%,,,
Unknown,N/A,1978,N/A,11,0.56%,7,0.35%,,,
,,,,,,,,,,
Total,"470,313",14246,302.90,488,3.43%,109,0.77%,,,
