,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,11782,1213.55,41,0.35%,0,0.00%
18-44,183183,33302,1817.96,219,0.66%,24,0.07%
45-64,116628,17200,1474.77,443,2.58%,135,0.78%
65-74,46724,4655,996.28,406,8.72%,184,3.95%
75+,31987,3169,990.71,569,17.96%,421,13.28%
,,,,,,,
Females,244460,37137,1519.14,845,2.28%,340,0.92%
Males,231149,32368,1400.31,830,2.56%,424,1.31%
Unknown,N/A,603,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,745,634.74,16,2.15%,6,0.81%
Black,42291,5735,1356.08,208,3.63%,64,1.12%
White,408000,50175,1229.78,1386,2.76%,660,1.32%
Hawaiian/Pacific Islander,585,83,1418.80,4,4.82%,0,0.00%
Other ,12996,3289,2530.78,29,0.88%,5,0.15%
Unknown,N/A,10081,N/A,35,0.35%,29,0.29%
,,,,,,,
Hispanic,22336,3237,1449.23,80,2.47%,11,0.34%
Non-Hispanic,453273,48601,1072.22,1520,3.13%,687,1.41%
Unknown,N/A,18270,N/A,78,0.43%,66,0.36%
,,,,,,,
Total,"475,609",70108,1474.07,1678,2.39%,764,1.09%
