,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5283,545.62,23,0.44%,0,0.00%,,,
18-44,"173,546",21981,1266.58,160,0.73%,11,0.05%,,,
45-64,"116,740",11725,1004.37,317,2.70%,77,0.66%,,,
65-74,"40,633",3330,819.53,259,7.78%,121,3.63%,,,
75+,"28,440",2426,853.02,424,17.48%,303,12.49%,,,
,,,,,,,,,,
Females,242211,23664,977.00,604,2.55%,231,0.98%,,,
Males,228102,20714,908.10,576,2.78%,281,1.36%,,,
Unknown,N/A,367,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,470,416.41,12,2.55%,4,0.85%,,,
Black,41858,3238,773.57,128,3.95%,33,1.02%,,,
White,404469,32835,811.81,985,3.00%,424,1.29%,,,
Hawaiian/Pacific Islander,470,50,1063.83,4,8.00%,1,2.00%,,,
Other ,12229,1435,1173.44,19,1.32%,3,0.21%,,,
Unknown,N/A,6481,N/A,35,0.54%,47,0.73%,,,
,,,,,,,,,,
Hispanic,20694,2459,1188.27,66,2.68%,10,0.41%,,,
Non-Hispanic,449619,31538,701.44,1053,3.34%,438,1.39%,,,
Unknown,N/A,10566,N/A,64,0.61%,64,0.61%,,,
,,,,,,,,,,
Total,"470,313",44745,951.39,1183,2.64%,512,1.14%,,,
