,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,13555,1396.17,49,0.36%,0,0.00%
18-44,183183,36919,2015.42,260,0.70%,40,0.11%
45-64,116628,19291,1654.06,543,2.81%,180,0.93%
65-74,46724,5260,1125.76,488,9.28%,228,4.33%
75+,31987,3530,1103.57,655,18.56%,466,13.20%
,,,,,,,
Females,244460,41572,1700.56,992,2.39%,409,0.98%
Males,231149,36278,1569.46,999,2.75%,505,1.39%
Unknown,N/A,705,N/A,4,0.00%,0,0.00%
,,,,,,,
Asian,11737,809,689.27,20,2.47%,7,0.87%
Black,42291,6546,1547.85,245,3.74%,85,1.30%
White,408000,56706,1389.85,1649,2.91%,787,1.39%
Hawaiian/Pacific Islander,585,91,1555.56,4,4.40%,0,0.00%
Other ,12996,3899,3000.15,34,0.87%,5,0.13%
Unknown,N/A,10504,N/A,43,0.41%,30,0.29%
,,,,,,,
Hispanic,22336,3538,1583.99,87,2.46%,13,0.37%
Non-Hispanic,453273,56042,1236.39,1812,3.23%,828,1.48%
Unknown,N/A,18975,N/A,96,0.51%,73,0.38%
,,,,,,,
Total,"475,609",78555,1651.67,1995,2.54%,914,1.16%
