,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,22317,2298.66,72,0.32%,1,0.00%
18-44,183183,60667,3311.82,308,0.51%,63,0.10%
45-64,116628,32043,2747.45,721,2.25%,292,0.91%
65-74,46724,8695,1860.93,707,8.13%,333,3.83%
75+,31987,5853,1829.81,937,16.01%,695,11.87%
,,,,,,,
Females,244460,69909,2859.73,1372,1.96%,636,0.91%
Males,231149,58814,2544.42,1370,2.33%,748,1.27%
Unknown,N/A,852,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,1628,1387.07,22,1.35%,9,0.55%
Black,42291,10555,2495.80,334,3.16%,128,1.21%
White,408000,91460,2241.67,2282,2.50%,1201,1.31%
Hawaiian/Pacific Islander,585,146,2495.73,5,3.42%,1,0.68%
Other ,12996,8302,6388.12,48,0.58%,8,0.10%
Unknown,N/A,17484,N/A,54,0.31%,37,0.21%
,,,,,,,
Hispanic,22336,4700,2104.23,104,2.21%,21,0.45%
Non-Hispanic,453273,87674,1934.24,2506,2.86%,1264,1.44%
Unknown,N/A,37201,N/A,135,0.36%,99,0.27%
,,,,,,,
Total,"475,609",129575,2724.40,2745,2.12%,1384,1.07%
