,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,12840,1322.53,47,0.37%,0,0.00%
18-44,183183,35304,1927.25,234,0.66%,36,0.10%
45-64,116628,18375,1575.52,467,2.54%,163,0.89%
65-74,46724,4985,1066.90,448,8.99%,203,4.07%
75+,31987,3364,1051.68,610,18.13%,440,13.08%
,,,,,,,
Females,244460,39653,1622.06,908,2.29%,375,0.95%
Males,231149,34551,1494.75,895,2.59%,467,1.35%
Unknown,N/A,664,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,781,665.42,17,2.18%,7,0.90%
Black,42291,6170,1458.94,225,3.65%,78,1.26%
White,408000,53053,1300.32,1494,2.82%,723,1.36%
Hawaiian/Pacific Islander,585,88,1504.27,4,4.55%,0,0.00%
Other ,12996,3658,2814.71,29,0.79%,5,0.14%
Unknown,N/A,11118,N/A,37,0.33%,29,0.26%
,,,,,,,
Hispanic,22336,3359,1503.85,82,2.44%,11,0.33%
Non-Hispanic,453273,51154,1128.55,1636,3.20%,763,1.49%
Unknown,N/A,20355,N/A,88,0.43%,68,0.33%
,,,,,,,
Total,"475,609",74868,1574.15,1806,2.41%,842,1.12%
