,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,97087,13282,1368.05,48,0.36%,0,0.00%,,,
18-44,183183,36264,1979.66,245,0.68%,38,0.10%,,,
45-64,116628,18898,1620.37,489,2.59%,172,0.91%,,,
65-74,46724,5136,1099.22,467,9.09%,212,4.13%,,,
75+,31987,3465,1083.25,627,18.10%,451,13.02%,,,
,,,,,,,,,,
Females,244460,40723,1665.83,938,2.30%,392,0.96%,,,
Males,231149,35556,1538.23,935,2.63%,481,1.35%,,,
Unknown,N/A,766,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11737,791,673.94,18,2.28%,7,0.88%,,,
Black,42291,6423,1518.76,232,3.61%,80,1.25%,,,
White,408000,55274,1354.75,1552,2.81%,752,1.36%,,,
Hawaiian/Pacific Islander,585,89,1521.37,4,4.49%,0,0.00%,,,
Other ,12996,3839,2953.99,32,0.83%,5,0.13%,,,
Unknown,N/A,10629,N/A,38,0.36%,29,0.27%,,,
,,,,,,,,,,
Hispanic,22336,3457,1547.73,83,2.40%,11,0.32%,,,
Non-Hispanic,453273,54343,1198.90,1707,3.14%,792,1.46%,,,
Unknown,N/A,19245,N/A,86,0.45%,70,0.36%,,,
,,,,,,,,,,
Total,"475,609",77045,1619.92,1876,2.43%,873,1.13%,,,
