,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",6256,646.11,28,0.45%,0,0.00%,,,
18-44,"173,546",25127,1447.86,186,0.74%,11,0.04%,,,
45-64,"116,740",13458,1152.82,382,2.84%,91,0.68%,,,
65-74,"40,633",3734,918.96,309,8.28%,144,3.86%,,,
75+,"28,440",2646,930.38,471,17.80%,381,14.40%,,,
,,,,,,,,,,
Females,242211,27102,1118.94,689,2.54%,287,1.06%,,,
Males,228102,23771,1042.12,683,2.87%,340,1.43%,,,
Unknown,N/A,348,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,627,555.51,14,2.23%,5,0.80%,,,
Black,41858,3850,919.78,157,4.08%,42,1.09%,,,
White,404469,39027,964.89,1148,2.94%,549,1.41%,,,
Hawaiian/Pacific Islander,470,63,1340.43,4,6.35%,0,0.00%,,,
Other ,12229,1751,1431.84,22,1.26%,3,0.17%,,,
Unknown,N/A,5903,N/A,31,0.53%,28,0.47%,,,
,,,,,,,,,,
Hispanic,20694,2749,1328.40,72,2.62%,6,0.22%,,,
Non-Hispanic,449619,38939,866.04,1246,3.20%,562,1.44%,,,
Unknown,N/A,9533,N/A,58,0.61%,59,0.62%,,,
,,,,,,,,,,
Total,"470,313",51221,1089.08,1376,2.69%,627,1.22%,,,
