,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",679,70.13,7,1.03%,0,0.00%,,,
18-44,"173,546",3797,218.79,72,1.90%,5,0.13%,,,
45-64,"116,740",1512,129.52,98,6.48%,16,1.06%,,,
65-74,"40,633",357,87.86,34,9.52%,10,2.80%,,,
75+,"28,440",233,81.93,52,22.32%,25,10.73%,,,
,,,,,,,,,,
Females,242211,3340,137.90,135,4.04%,21,0.63%,,,
Males,228102,3193,139.98,128,4.01%,35,1.10%,,,
,,,,,,,,,,
Asian,11287,60,53.16,2,3.33%,0,0.00%,,,
Black,41858,782,186.82,56,7.16%,10,1.28%,,,
White,404469,4576,113.14,185,4.04%,37,0.81%,,,
Hawaiian/Pacific Islander,470,19,404.26,4,21.05%,0,0.00%,,,
Other ,12229,362,296.02,8,2.21%,2,0.55%,,,
Unknown,N/A,779,N/A,8,1.03%,7,0.90%,,,
,,,,,,,,,,
Hispanic,20694,954,461.00,45,4.72%,5,0.52%,,,
Non-Hispanic,449619,4695,104.42,211,4.49%,40,0.85%,,,
Unknown,N/A,929,N/A,7,0.75%,11,1.18%,,,
,,,,,,,,,,
Total,"470,313",6578,139.86,263,4.00%,56,0.85%,,,
