,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,12975,1336.43,47,0.36%,0,0.00%
18-44,183183,35606,1943.74,237,0.67%,37,0.10%
45-64,116628,18521,1588.04,471,2.54%,166,0.90%
65-74,46724,5034,1077.39,456,9.06%,205,4.07%
75+,31987,3397,1061.99,613,18.05%,444,13.07%
,,,,,,,
Females,244460,39952,1634.30,915,2.29%,378,0.95%
Males,231149,34886,1509.24,906,2.60%,474,1.36%
Unknown,N/A,695,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,786,669.68,18,2.29%,7,0.89%
Black,42291,6272,1483.06,226,3.60%,78,1.24%
White,408000,53840,1319.61,1509,2.80%,733,1.36%
Hawaiian/Pacific Islander,585,88,1504.27,4,4.55%,0,0.00%
Other ,12996,3728,2868.57,29,0.78%,5,0.13%
Unknown,N/A,10819,N/A,38,0.35%,29,0.27%
,,,,,,,
Hispanic,22336,3395,1519.97,82,2.42%,11,0.32%
Non-Hispanic,453273,52422,1156.52,1655,3.16%,772,1.47%
Unknown,N/A,19716,N/A,87,0.44%,69,0.35%
,,,,,,,
Total,"475,609",75533,1588.13,1824,2.41%,852,1.13%
