,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5882,607.48,27,0.46%,0,0.00%,,,
18-44,"173,546",23814,1372.20,172,0.72%,11,0.05%,,,
45-64,"116,740",12821,1098.25,351,2.74%,83,0.65%,,,
65-74,"40,633",3622,891.39,296,8.17%,140,3.87%,,,
75+,"28,440",2596,912.80,455,17.53%,367,14.14%,,,
,,,,,,,,,,
Females,242211,25816,1065.85,652,2.53%,276,1.07%,,,
Males,228102,22584,990.08,645,2.86%,325,1.44%,,,
Unknown,N/A,335,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,591,523.61,13,2.20%,5,0.85%,,,
Black,41858,3632,867.70,148,4.07%,37,1.02%,,,
White,404469,36919,912.78,1083,2.93%,528,1.43%,,,
Hawaiian/Pacific Islander,470,59,1255.32,4,6.78%,0,0.00%,,,
Other ,12229,1574,1287.10,22,1.40%,3,0.19%,,,
Unknown,N/A,5960,N/A,31,0.52%,28,0.47%,,,
,,,,,,,,,,
Hispanic,20694,2634,1272.83,71,2.70%,6,0.23%,,,
Non-Hispanic,449619,36516,812.15,1176,3.22%,538,1.47%,,,
Unknown,N/A,9585,N/A,54,0.56%,57,0.59%,,,
,,,,,,,,,,
Total,"470,313",48735,1036.22,1301,2.67%,601,1.23%,,,
