,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,13673,1408.32,49,0.36%,0,0.00%
18-44,183183,37186,2029.99,267,0.72%,40,0.11%
45-64,116628,19440,1666.84,558,2.87%,187,0.96%
65-74,46724,5302,1134.75,495,9.34%,232,4.38%
75+,31987,3571,1116.39,662,18.54%,469,13.13%
,,,,,,,
Females,244460,41914,1714.55,1011,2.41%,414,0.99%
Males,231149,36550,1581.23,1016,2.78%,514,1.41%
Unknown,N/A,708,N/A,4,0.00%,0,0.00%
,,,,,,,
Asian,11737,825,702.91,19,2.30%,7,0.85%
Black,42291,6604,1561.56,248,3.76%,86,1.30%
White,408000,57243,1403.01,1681,2.94%,799,1.40%
Hawaiian/Pacific Islander,585,90,1538.46,4,4.44%,0,0.00%
Other ,12996,3905,3004.77,35,0.90%,6,0.15%
Unknown,N/A,10505,N/A,44,0.42%,30,0.29%
,,,,,,,
Hispanic,22336,3552,1590.26,88,2.48%,13,0.37%
Non-Hispanic,453273,56575,1248.14,1843,3.26%,840,1.48%
Unknown,N/A,19045,N/A,100,0.53%,75,0.39%
,,,,,,,
Total,"475,609",79172,1664.64,2031,2.57%,928,1.17%
