,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1552,160.29,11,0.71%,0,0.00%,,,
18-44,"173,546",8198,472.38,116,1.41%,5,0.06%,,,
45-64,"116,740",3336,285.76,164,4.92%,21,0.63%,,,
65-74,"40,633",893,219.77,85,9.52%,28,3.14%,,,
75+,"28,440",578,203.23,119,20.59%,59,10.21%,,,
,,,,,,,,,,
Females,242211,7552,311.79,258,3.42%,38,0.50%,,,
Males,228102,6901,302.54,236,3.42%,75,1.09%,,,
Unknown,N/A,104,N/A,1,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,150,132.90,3,2.00%,0,0.00%,,,
Black,41858,1310,312.96,85,6.49%,17,1.30%,,,
White,404469,10858,268.45,380,3.50%,93,0.86%,,,
Hawaiian/Pacific Islander,470,31,659.57,4,12.90%,0,0.00%,,,
Other ,12229,541,442.39,13,2.40%,2,0.37%,,,
Unknown,N/A,1667,N/A,10,0.60%,1,0.06%,,,
,,,,,,,,,,
Hispanic,20694,1349,651.88,49,3.63%,4,0.30%,,,
Non-Hispanic,449619,11231,249.79,434,3.86%,102,0.91%,,,
Unknown,N/A,1977,N/A,12,0.61%,7,0.35%,,,
,,,,,,,,,,
Total,"470,313",14557,309.52,495,3.40%,113,0.78%,,,
