,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1283,132.51,11,0.86%,0,0.00%,,,
18-44,"173,546",7103,409.29,107,1.51%,5,0.07%,,,
45-64,"116,740",2716,232.65,148,5.45%,21,0.77%,,,
65-74,"40,633",727,178.92,74,10.18%,23,3.16%,,,
75+,"28,440",440,154.71,89,20.23%,46,10.45%,,,
,,,,,,,,,,
Females,242211,6344,261.92,227,3.58%,35,0.55%,,,
Males,228102,5860,256.90,202,3.45%,60,1.02%,,,
Unknown,N/A,65,N/A,0,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,137,121.38,3,2.19%,0,0.00%,,,
Black,41858,1175,280.71,84,7.15%,15,1.28%,,,
White,404469,9103,225.06,317,3.48%,76,0.83%,,,
Hawaiian/Pacific Islander,470,30,638.30,4,13.33%,0,0.00%,,,
Other ,12229,497,406.41,12,2.41%,2,0.40%,,,
Unknown,N/A,1327,N/A,9,0.68%,2,0.15%,,,
,,,,,,,,,,
Hispanic,20694,1271,614.19,49,3.86%,4,0.31%,,,
Non-Hispanic,449619,9495,211.18,370,3.90%,84,0.88%,,,
Unknown,N/A,1503,N/A,10,0.67%,7,0.47%,,,
,,,,,,,,,,
Total,"470,313",12269,260.87,429,3.50%,95,0.77%,,,
