,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,14381,1481.25,50,0.35%,0,0.00%
18-44,183183,39081,2133.44,287,0.73%,43,0.11%
45-64,116628,20456,1753.95,630,3.08%,210,1.03%
65-74,46724,5573,1192.75,519,9.31%,241,4.32%
75+,31987,3762,1176.10,701,18.63%,498,13.24%
,,,,,,,
Females,244460,44129,1805.16,1091,2.47%,439,0.99%
Males,231149,38426,1662.39,1093,2.84%,553,1.44%
Unknown,N/A,698,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,899,765.95,20,2.22%,7,0.78%
Black,42291,6860,1622.09,263,3.83%,91,1.33%
White,408000,60606,1485.44,1813,2.99%,856,1.41%
Hawaiian/Pacific Islander,585,95,1623.93,4,4.21%,1,1.05%
Other ,12996,4112,3164.05,38,0.92%,6,0.15%
Unknown,N/A,10681,N/A,49,0.46%,31,0.29%
,,,,,,,
Hispanic,22336,3689,1651.59,92,2.49%,13,0.35%
Non-Hispanic,453273,59814,1319.60,1985,3.32%,900,1.50%
Unknown,N/A,19750,N/A,110,0.56%,79,0.40%
,,,,,,,
Total,"475,609",83253,1750.45,2187,2.63%,992,1.19%
