,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,
0-17,"96,826",1256,129.72,11,0.88%,0,0.00%,,
18-44,"173,546",7007,403.75,105,1.50%,5,0.07%,,
45-64,"116,740",2637,225.89,147,5.57%,21,0.80%,,
65-74,"40,633",705,173.50,72,10.21%,23,3.26%,,
75+,"28,440",424,149.09,86,20.28%,44,10.38%,,
,,,,,,,,,
Females,242211,6225,257.01,223,3.58%,33,0.53%,,
Males,228102,5739,251.60,198,3.45%,60,1.05%,,
Unknown,N/A,65,N/A,0,0.00%,0,0.00%,,
,,,,,,,,,
Asian,11287,136,120.49,3,2.21%,0,0.00%,,
Black,41858,1168,279.04,82,7.02%,15,1.28%,,
White,404469,8954,221.38,313,3.50%,74,0.83%,,
Hawaiian/Pacific Islander,470,30,638.30,4,13.33%,0,0.00%,,
Other ,12229,497,406.41,11,2.21%,2,0.40%,,
Unknown,N/A,1244,N/A,8,0.64%,2,0.16%,,
,,,,,,,,,
Hispanic,20694,1267,612.25,49,3.87%,4,0.32%,,
Non-Hispanic,449619,9382,208.67,363,3.87%,82,0.87%,,
Unknown,N/A,1380,N/A,9,0.65%,7,0.51%,,
,,,,,,,,,
Total,"470,313",12029,255.77,421,3.50%,93,0.77%,,
