,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,
0-17,"96,826",1251,129.20,10,0.80%,0,0.00%,,
18-44,"173,546",6981,402.26,104,1.49%,5,0.07%,,
45-64,"116,740",2625,224.86,145,5.52%,21,0.80%,,
65-74,"40,633",697,171.54,71,10.19%,23,3.30%,,
75+,"28,440",421,148.03,82,19.48%,43,10.21%,,
,,,,,,,,,
Females,242211,6195,255.77,216,3.49%,32,0.52%,,
Males,228102,5719,250.72,196,3.43%,60,1.05%,,
Unknown,N/A,61,N/A,0,0.00%,0,0.00%,,
,,,,,,,,,
Asian,11287,133,117.83,2,1.50%,0,0.00%,,
Black,41858,1166,278.56,82,7.03%,15,1.29%,,
White,404469,8888,219.74,305,3.43%,73,0.82%,,
Hawaiian/Pacific Islander,470,30,638.30,4,13.33%,0,0.00%,,
Other ,12229,495,404.78,11,2.22%,2,0.40%,,
Unknown,N/A,1263,N/A,8,0.63%,2,0.16%,,
,,,,,,,,,
Hispanic,20694,1257,607.42,49,3.90%,4,0.32%,,
Non-Hispanic,449619,9311,207.09,354,3.80%,82,0.88%,,
Unknown,N/A,1407,N/A,9,0.64%,6,0.43%,,
,,,,,,,,,
Total,"470,313",11975,254.62,412,3.44%,92,0.77%,,
