,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,
0-17,"96,826",1169,120.73,10,0.86%,0,0.00%,,
18-44,"173,546",6682,385.03,102,1.53%,5,0.07%,,
45-64,"116,740",2403,205.84,136,5.66%,20,0.83%,,
65-74,"40,633",630,155.05,65,10.32%,21,3.33%,,
75+,"28,440",388,136.43,80,20.62%,40,10.31%,,
,,,,,,,,,
Females,242211,5826,240.53,206,3.54%,29,0.50%,,
Males,228102,5388,236.21,187,3.47%,57,1.06%,,
Unknown,N/A,58,N/A,0,0.00%,0,0.00%,,
,,,,,,,,,
Asian,11287,133,117.83,2,1.50%,0,0.00%,,
Black,41858,1111,265.42,78,7.02%,14,1.26%,,
White,404469,8424,208.27,292,3.47%,68,0.81%,,
Hawaiian/Pacific Islander,470,28,595.74,4,14.29%,0,0.00%,,
Other ,12229,478,390.87,10,2.09%,2,0.42%,,
Unknown,N/A,1098,N/A,7,0.64%,2,0.18%,,
,,,,,,,,,
Hispanic,20694,1229,593.89,48,3.91%,4,0.33%,,
Non-Hispanic,449619,8813,196.01,336,3.81%,76,0.86%,,
Unknown,N/A,1230,N/A,9,0.73%,6,0.49%,,
,,,,,,,,,
Total,"470,313",11272,239.67,392,3.48%,86,0.76%,,
