,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",4627,477.87,22,0.48%,0,0.00%,,,
18-44,"173,546",20284,1168.80,150,0.74%,10,0.05%,,,
45-64,"116,740",10779,923.33,296,2.75%,66,0.61%,,,
65-74,"40,633",3036,747.18,232,7.64%,99,3.26%,,,
75+,"28,440",2252,791.84,382,16.96%,256,11.37%,,,
,,,,,,,,,,
Females,242211,21629,892.98,554,2.56%,187,0.86%,,,
Males,228102,18977,831.95,525,2.77%,244,1.29%,,,
Unknown,N/A,372,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,449,397.80,11,2.45%,3,0.67%,,,
Black,41858,2953,705.48,121,4.10%,31,1.05%,,,
White,404469,29865,738.38,891,2.98%,349,1.17%,,,
Hawaiian/Pacific Islander,470,47,1000.00,4,8.51%,1,2.13%,,,
Other ,12229,1291,1055.69,18,1.39%,3,0.23%,,,
Unknown,N/A,6373,N/A,37,0.58%,44,0.69%,,,
,,,,,,,,,,
Hispanic,20694,2317,1119.65,62,2.68%,9,0.39%,,,
Non-Hispanic,449619,28376,631.11,956,3.37%,370,1.30%,,,
Unknown,N/A,10285,N/A,64,0.62%,52,0.51%,,,
,,,,,,,,,,
Total,"470,313",40978,871.29,1082,2.64%,431,1.05%,,,
