,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5688,587.45,27,0.47%,0,0.00%,,,
18-44,"173,546",23182,1335.78,168,0.72%,11,0.05%,,,
45-64,"116,740",12498,1070.58,342,2.74%,81,0.65%,,,
65-74,"40,633",3528,868.26,287,8.13%,131,3.71%,,,
75+,"28,440",2556,898.73,451,17.64%,320,12.52%,,,
,,,,,,,,,,
Females,242211,25136,1037.77,646,2.57%,245,0.97%,,,
Males,228102,21954,962.46,625,2.85%,298,1.36%,,,
Unknown,N/A,362,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,571,505.89,13,2.28%,4,0.70%,,,
Black,41858,3516,839.98,143,4.07%,34,0.97%,,,
White,404469,35803,885.19,1063,2.97%,453,1.27%,,,
Hawaiian/Pacific Islander,470,57,1212.77,4,7.02%,1,1.75%,,,
Other ,12229,1543,1261.75,21,1.36%,3,0.19%,,,
Unknown,N/A,5962,N/A,31,0.52%,48,0.81%,,,
,,,,,,,,,,
Hispanic,20694,2586,1249.64,70,2.71%,10,0.39%,,,
Non-Hispanic,449619,35238,783.73,1151,3.27%,467,1.33%,,,
Unknown,N/A,9628,N/A,54,0.56%,66,0.69%,,,
,,,,,,,,,,
Total,"470,313",47452,1008.95,1275,2.69%,543,1.14%,,,
