,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",4256,439.55,21,0.49%,0,0.00%,,,
18-44,"173,546",19132,1102.42,142,0.74%,10,0.05%,,,
45-64,"116,740",10133,868.00,264,2.61%,52,0.51%,,,
65-74,"40,633",2858,703.37,199,6.96%,86,3.01%,,,
75+,"28,440",2093,735.94,320,15.29%,231,11.04%,,,
,,,,,,,,,,
Females,242211,20277,837.16,474,2.34%,160,0.79%,,,
Males,228102,17803,780.48,470,2.64%,219,1.23%,,,
Unknown,N/A,392,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,378,334.90,8,2.12%,2,0.53%,,,
Black,41858,2670,637.87,113,4.23%,28,1.05%,,,
White,404469,27085,669.64,777,2.87%,303,1.12%,,,
Hawaiian/Pacific Islander,470,43,914.89,4,9.30%,1,2.33%,,,
Other ,12229,1223,1000.08,15,1.23%,3,0.25%,,,
Unknown,N/A,7073,N/A,29,0.41%,42,0.59%,,,
,,,,,,,,,,
Hispanic,20694,2037,984.34,57,2.80%,9,0.44%,,,
Non-Hispanic,449619,24929,554.45,842,3.38%,324,1.30%,,,
Unknown,N/A,11506,N/A,47,0.41%,46,0.40%,,,
,,,,,,,,,,
Total,"470,313",38472,818.01,946,2.46%,379,0.99%,,,
