,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,21919,2257.67,70,0.32%,1,0.00%
18-44,183183,59194,3231.41,302,0.51%,54,0.09%
45-64,116628,31076,2664.54,699,2.25%,270,0.87%
65-74,46724,8366,1790.51,673,8.04%,301,3.60%
75+,31987,5452,1704.44,877,16.09%,629,11.54%
,,,,,,,
Females,244460,67811,2773.91,1307,1.93%,561,0.83%
Males,231149,57365,2481.73,1311,2.29%,694,1.21%
Unknown,N/A,831,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,1492,1271.19,22,1.47%,9,0.60%
Black,42291,10211,2414.46,328,3.21%,119,1.17%
White,408000,87742,2150.54,2168,2.47%,1084,1.24%
Hawaiian/Pacific Islander,585,140,2393.16,5,3.57%,1,0.71%
Other ,12996,8306,6391.20,45,0.54%,7,0.08%
Unknown,N/A,18116,N/A,53,0.29%,35,0.19%
,,,,,,,
Hispanic,22336,4460,1996.78,99,2.22%,19,0.43%
Non-Hispanic,453273,82814,1827.02,2387,2.88%,1140,1.38%
Unknown,N/A,38733,N/A,135,0.35%,96,0.25%
,,,,,,,
Total,"475,609",126007,2649.38,2621,2.08%,1255,1.00%
