,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,22281,2294.95,72,0.32%,1,0.00%
18-44,183183,60450,3299.98,308,0.51%,63,0.10%
45-64,116628,31904,2735.54,721,2.26%,292,0.92%
65-74,46724,8650,1851.30,706,8.16%,333,3.85%
75+,31987,5821,1819.80,935,16.06%,695,11.94%
,,,,,,,
Females,244460,69646,2848.97,1370,1.97%,636,0.91%
Males,231149,58609,2535.55,1369,2.34%,748,1.28%
Unknown,N/A,851,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,1612,1373.43,22,1.36%,9,0.56%
Black,42291,10529,2489.66,334,3.17%,128,1.22%
White,408000,91125,2233.46,2279,2.50%,1201,1.32%
Hawaiian/Pacific Islander,585,144,2461.54,5,3.47%,1,0.69%
Other ,12996,8267,6361.19,48,0.58%,8,0.10%
Unknown,N/A,17429,N/A,54,0.31%,37,0.21%
,,,,,,,
Hispanic,22336,4692,2100.64,104,2.22%,21,0.45%
Non-Hispanic,453273,87424,1928.73,2503,2.86%,1264,1.45%
Unknown,N/A,36990,N/A,135,0.36%,99,0.27%
,,,,,,,
Total,"475,609",129106,2714.54,2742,2.12%,1384,1.07%
