,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1108,114.43,10,0.90%,0,0.00%,,,
18-44,"173,546",6389,368.14,99,1.55%,5,0.08%,,,
45-64,"116,740",2246,192.39,131,5.83%,20,0.89%,,,
65-74,"40,633",588,144.71,64,10.88%,21,3.57%,,,
75+,"28,440",364,127.99,78,21.43%,39,10.71%,,,
,,,,,,,,,,
Females,242211,5510,227.49,201,3.65%,29,0.53%,,,
Males,228102,5128,224.81,181,3.53%,56,1.09%,,,
Unknown,N/A,57,N/A,0,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,128,113.40,2,1.56%,0,0.00%,,,
Black,41858,1057,252.52,74,7.00%,14,1.32%,,,
White,404469,8016,198.19,285,3.56%,67,0.84%,,,
Hawaiian/Pacific Islander,470,28,595.74,4,14.29%,0,0.00%,,,
Other ,12229,467,381.88,10,2.14%,2,0.43%,,,
Unknown,N/A,999,N/A,7,0.70%,2,0.20%,,,
,,,,,,,,,,
Hispanic,20694,1208,583.74,48,3.97%,4,0.33%,,,
Non-Hispanic,449619,8356,185.85,324,3.88%,75,0.90%,,,
Unknown,N/A,1131,N/A,10,0.88%,6,0.53%,,,
,,,,,,,,,,
Total,"470,313",10695,227.40,382,3.57%,85,0.79%,,,
