,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",4143,427.88,19,0.46%,0,0.00%,,,
18-44,"173,546",18587,1071.01,142,0.76%,10,0.05%,,,
45-64,"116,740",9847,843.50,260,2.64%,51,0.52%,,,
65-74,"40,633",2780,684.17,193,6.94%,82,2.95%,,,
75+,"28,440",2009,706.40,302,15.03%,222,11.05%,,,
,,,,,,,,,,
Females,242211,19670,812.10,459,2.33%,154,0.78%,,,
Males,228102,17318,759.22,455,2.63%,211,1.22%,,,
Unknown,N/A,378,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,358,317.18,8,2.23%,2,0.56%,,,
Black,41858,2596,620.19,112,4.31%,28,1.08%,,,
White,404469,26234,648.60,750,2.86%,289,1.10%,,,
Hawaiian/Pacific Islander,470,4,85.11,4,100.00%,1,25.00%,,,
Other ,12229,1101,900.32,15,1.36%,3,0.27%,,,
Unknown,N/A,7073,N/A,27,0.38%,42,0.59%,,,
,,,,,,,,,,
Hispanic,20694,1988,960.66,57,2.87%,9,0.45%,,,
Non-Hispanic,449619,24174,537.66,815,3.37%,310,1.28%,,,
Unknown,N/A,11204,N/A,44,0.39%,46,0.41%,,,
,,,,,,,,,,
Total,"470,313",37366,794.49,916,2.45%,365,0.98%,,,
