,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",6111,631.13,28,0.46%,0,0.00%,,,
18-44,"173,546",24645,1420.08,183,0.74%,11,0.04%,,,
45-64,"116,740",13222,1132.60,376,2.84%,91,0.69%,,,
65-74,"40,633",3703,911.33,306,8.26%,143,3.86%,,,
75+,"28,440",2628,924.05,466,17.73%,378,14.38%,,,
,,,,,,,,,,
Females,242211,26630,1099.45,680,2.55%,287,1.08%,,,
Males,228102,23339,1023.18,675,2.89%,336,1.44%,,,
Unknown,N/A,340,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,618,547.53,14,2.27%,5,0.81%,,,
Black,41858,3756,897.32,154,4.10%,42,1.12%,,,
White,404469,38336,947.81,1133,2.96%,545,1.42%,,,
Hawaiian/Pacific Islander,470,60,1276.60,4,6.67%,0,0.00%,,,
Other ,12229,1620,1324.72,22,1.36%,3,0.19%,,,
Unknown,N/A,5919,N/A,32,0.54%,28,0.47%,,,
,,,,,,,,,,
Hispanic,20694,2709,1309.08,72,2.66%,6,0.22%,,,
Non-Hispanic,449619,38121,847.85,1231,3.23%,558,1.46%,,,
Unknown,N/A,9479,N/A,56,0.59%,59,0.62%,,,
,,,,,,,,,,
Total,"470,313",50309,1069.69,1359,2.70%,623,1.24%,,,
