,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1414,146.04,11,0.78%,0,0.00%,,,
18-44,"173,546",7676,442.30,110,1.43%,5,0.07%,,,
45-64,"116,740",3047,261.01,159,5.22%,21,0.69%,,,
65-74,"40,633",802,197.38,81,10.10%,25,3.12%,,,
75+,"28,440",515,181.08,103,20.00%,52,10.10%,,,
,,,,,,,,,,
Females,242211,6970,287.77,243,3.49%,37,0.53%,,,
Males,228102,6399,280.53,220,3.44%,66,1.03%,,,
Unknown,N/A,85,N/A,1,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,143,126.69,3,2.10%,0,0.00%,,,
Black,41858,1248,298.15,84,6.73%,16,1.28%,,,
White,404469,9892,244.57,352,3.56%,83,0.84%,,,
Hawaiian/Pacific Islander,470,30,638.30,4,13.33%,0,0.00%,,,
Other ,12229,517,422.77,13,2.51%,2,0.39%,,,
Unknown,N/A,1624,N/A,8,0.49%,2,0.12%,,,
,,,,,,,,,,
Hispanic,20694,1305,630.62,49,3.75%,4,0.31%,,,
Non-Hispanic,449619,10267,228.35,403,3.93%,92,0.90%,,,
Unknown,N/A,1882,N/A,12,0.64%,7,0.37%,,,
,,,,,,,,,,
Total,"470,313",13454,286.06,464,3.45%,103,0.77%,,,
