,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",6067,626.59,28,0.46%,0,0.00%,,,
18-44,"173,546",24493,1411.33,181,0.74%,11,0.04%,,,
45-64,"116,740",13153,1126.69,371,2.82%,90,0.68%,,,
65-74,"40,633",3690,908.13,306,8.29%,143,3.88%,,,
75+,"28,440",2622,921.94,462,17.62%,374,14.26%,,,
,,,,,,,,,,
Females,242211,26480,1093.26,673,2.54%,285,1.08%,,,
Males,228102,23206,1017.35,671,2.89%,333,1.43%,,,
Unknown,N/A,339,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,609,539.56,13,2.13%,5,0.82%,,,
Black,41858,3730,891.11,152,4.08%,41,1.10%,,,
White,404469,38068,941.18,1125,2.96%,541,1.42%,,,
Hawaiian/Pacific Islander,470,59,1255.32,4,6.78%,0,0.00%,,,
Other ,12229,1609,1315.72,22,1.37%,3,0.19%,,,
Unknown,N/A,5950,N/A,32,0.54%,28,0.47%,,,
,,,,,,,,,,
Hispanic,20694,2695,1302.31,72,2.67%,6,0.22%,,,
Non-Hispanic,449619,37803,840.78,1221,3.23%,554,1.47%,,,
Unknown,N/A,9527,N/A,55,0.58%,58,0.61%,,,
,,,,,,,,,,
Total,"470,313",50025,1063.65,1348,2.69%,618,1.24%,,,
