,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1271,131.27,11,0.87%,0,0.00%,,,
18-44,"173,546",7051,406.29,107,1.52%,5,0.07%,,,
45-64,"116,740",2680,229.57,148,5.52%,21,0.78%,,,
65-74,"40,633",713,175.47,74,10.38%,23,3.23%,,,
75+,"28,440",431,151.55,87,20.19%,46,10.67%,,,
,,,,,,,,,,
Females,242211,6278,259.20,226,3.60%,35,0.56%,,,
Males,228102,5803,254.40,201,3.46%,60,1.03%,,,
Unknown,N/A,65,N/A,0,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,136,120.49,3,2.21%,0,0.00%,,,
Black,41858,1175,280.71,84,7.15%,15,1.28%,,,
White,404469,9052,223.80,315,3.48%,76,0.84%,,,
Hawaiian/Pacific Islander,470,30,638.30,4,13.33%,0,0.00%,,,
Other ,12229,498,407.23,12,2.41%,2,0.40%,,,
Unknown,N/A,1255,N/A,9,0.72%,2,0.16%,,,
,,,,,,,,,,
Hispanic,20694,1271,614.19,49,3.86%,4,0.31%,,,
Non-Hispanic,449619,9478,210.80,368,3.88%,84,0.89%,,,
Unknown,N/A,1397,N/A,10,0.72%,7,0.50%,,,
,,,,,,,,,,
Total,"470,313",12146,258.25,427,3.52%,95,0.78%,,,
