,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1149,118.67,10,0.87%,0,0.00%,,,
18-44,"173,546",6545,377.13,99,1.51%,5,0.08%,,,
45-64,"116,740",2338,200.27,136,5.82%,20,0.86%,,,
65-74,"40,633",614,151.11,64,10.42%,21,3.42%,,,
75+,"28,440",376,132.21,79,21.01%,39,10.37%,,,
,,,,,,,,,,
Females,242211,5686,234.75,204,3.59%,29,0.51%,,,
Males,228102,5280,231.48,184,3.48%,56,1.06%,,,
Unknown,N/A,56,N/A,0,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,130,115.18,2,1.54%,0,0.00%,,,
Black,41858,1092,260.88,77,7.05%,14,1.28%,,,
White,404469,8269,204.44,288,3.48%,67,0.81%,,,
Hawaiian/Pacific Islander,470,28,595.74,4,14.29%,0,0.00%,,,
Other ,12229,472,385.97,10,2.12%,2,0.42%,,,
Unknown,N/A,1031,N/A,7,0.68%,2,0.19%,,,
,,,,,,,,,,
Hispanic,20694,1216,587.61,48,3.95%,4,0.33%,,,
Non-Hispanic,449619,8650,192.39,330,3.82%,75,0.87%,,,
Unknown,N/A,1156,N/A,10,0.87%,6,0.52%,,,
,,,,,,,,,,
Total,"470,313",11022,234.35,388,3.52%,85,0.77%,,,
