,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",3966,409.60,17,0.43%,0,0.00%,,,
18-44,"173,546",17713,1020.65,140,0.79%,10,0.06%,,,
45-64,"116,740",9354,801.27,245,2.62%,49,0.52%,,,
65-74,"40,633",2627,646.52,168,6.40%,78,2.97%,,,
75+,"28,440",1869,657.17,273,14.61%,209,11.18%,,,
,,,,,,,,,,
Females,242211,18674,770.98,425,2.28%,145,0.78%,,,
Males,228102,16504,723.54,416,2.52%,201,1.22%,,,
Unknown,N/A,351,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,323,286.17,8,2.48%,2,0.62%,,,
Black,41858,2428,580.06,107,4.41%,28,1.15%,,,
White,404469,24335,601.65,685,2.81%,271,1.11%,,,
Hawaiian/Pacific Islander,470,43,914.89,4,9.30%,1,2.33%,,,
Other ,12229,1150,940.39,15,1.30%,3,0.26%,,,
Unknown,N/A,7250,N/A,24,0.33%,41,0.57%,,,
,,,,,,,,,,
Hispanic,20694,1831,884.80,57,3.11%,9,0.49%,,,
Non-Hispanic,449619,22196,493.66,749,3.37%,292,1.32%,,,
Unknown,N/A,11502,N/A,37,0.32%,45,0.39%,,,
,,,,,,,,,,
Total,"470,313",35529,755.43,843,2.37%,346,0.97%,,,
