,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,
0-17,"96,826",6402,661.19,28,0.44%,0,0.00%,,
18-44,"173,546",25483,1468.37,189,0.74%,13,0.05%,,
45-64,"116,740",13656,1169.78,402,2.94%,98,0.72%,,
65-74,"40,633",3787,932.00,318,8.40%,145,3.83%,,
75+,"28,440",2650,931.79,482,18.19%,387,14.60%,,
,,,,,,,,,
Females,242211,27517,1136.08,710,2.58%,290,1.05%,,
Males,228102,24122,1057.51,705,2.92%,353,1.46%,,
Unknown,N/A,339,N/A,4,0.00%,0,0.00%,,
,,,,,,,,,
Asian,11287,632,559.94,15,2.37%,6,0.95%,,
Black,41858,3943,941.99,163,4.13%,44,1.12%,,
White,404469,39714,981.88,1184,2.98%,561,1.41%,,
Hawaiian/Pacific Islander,470,64,1361.70,4,6.25%,0,0.00%,,
Other ,12229,1802,1473.55,23,1.28%,4,0.22%,,
Unknown,N/A,5823,N/A,30,0.52%,28,0.48%,,
,,,,,,,,,
Hispanic,20694,2787,1346.77,73,2.62%,6,0.22%,,
Non-Hispanic,449619,39694,882.84,1289,3.25%,578,1.46%,,
Unknown,N/A,9497,N/A,57,0.60%,59,0.62%,,
,,,,,,,,,
Total,"470,313",51978,1105.18,1419,2.73%,643,1.24%,,
