,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5841,603.25,27,0.46%,0,0.00%,,,
18-44,"173,546",23666,1363.67,171,0.72%,11,0.05%,,,
45-64,"116,740",12750,1092.17,349,2.74%,83,0.65%,,,
65-74,"40,633",3603,886.72,295,8.19%,140,3.89%,,,
75+,"28,440",2586,909.28,455,17.59%,367,14.19%,,,
,,,,,,,,,,
Females,242211,25667,1059.70,651,2.54%,276,1.08%,,,
Males,228102,22443,983.90,642,2.86%,325,1.45%,,,
Unknown,N/A,336,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,588,520.95,13,2.21%,5,0.85%,,,
Black,41858,3611,862.68,146,4.04%,37,1.02%,,,
White,404469,36695,907.24,1081,2.95%,528,1.44%,,,
Hawaiian/Pacific Islander,470,58,1234.04,4,6.90%,0,0.00%,,,
Other ,12229,1566,1280.56,22,1.40%,3,0.19%,,,
Unknown,N/A,5928,N/A,31,0.52%,28,0.47%,,,
,,,,,,,,,,
Hispanic,20694,2625,1268.48,71,2.70%,6,0.23%,,,
Non-Hispanic,449619,36332,808.06,1173,3.23%,538,1.48%,,,
Unknown,N/A,9489,N/A,53,0.56%,57,0.60%,,,
,,,,,,,,,,
Total,"470,313",48446,1030.08,1297,2.68%,601,1.24%,,,
