,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,
0-17,"96,826",6394,660.36,28,0.44%,0,0.00%,,
18-44,"173,546",25537,1471.48,191,0.75%,12,0.05%,,
45-64,"116,740",13671,1171.06,396,2.90%,96,0.70%,,
65-74,"40,633",3782,930.77,316,8.36%,144,3.81%,,
75+,"28,440",2663,936.36,479,17.99%,384,14.42%,,
,,,,,,,,,
Females,242211,27512,1135.87,703,2.56%,289,1.05%,,
Males,228102,24185,1060.27,703,2.91%,347,1.43%,,
Unknown,N/A,350,N/A,4,0.00%,0,0.00%,,
,,,,,,,,,
Asian,11287,635,562.59,14,2.20%,5,0.79%,,
Black,41858,3910,934.11,161,4.12%,43,1.10%,,
White,404469,39684,981.14,1176,2.96%,557,1.40%,,
Hawaiian/Pacific Islander,470,64,1361.70,4,6.25%,0,0.00%,,
Other ,12229,1792,1465.37,22,1.23%,3,0.17%,,
Unknown,N/A,5962,N/A,33,0.55%,28,0.47%,,
,,,,,,,,,
Hispanic,20694,2783,1344.83,73,2.62%,6,0.22%,,
Non-Hispanic,449619,39619,881.17,1278,3.23%,571,1.44%,,
Unknown,N/A,9645,N/A,59,0.61%,59,0.61%,,
,,,,,,,,,
Total,"470,313",52047,1106.65,1410,2.71%,636,1.22%,,
