,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",6359,656.75,28,0.44%,0,0.00%,,,
18-44,"173,546",25190,1451.49,189,0.75%,14,0.06%,,,
45-64,"116,740",13460,1152.99,395,2.93%,100,0.74%,,,
65-74,"40,633",3754,923.88,318,8.47%,145,3.86%,,,
75+,"28,440",2631,925.11,480,18.24%,387,14.71%,,,
,,,,,,,,,,
Females,242211,27171,1121.79,708,2.61%,291,1.07%,,,
Males,228102,23892,1047.43,699,2.93%,355,1.49%,,,
Unknown,N/A,331,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,630,558.16,15,2.38%,6,0.95%,,,
Black,41858,3930,938.89,162,4.12%,45,1.15%,,,
White,404469,39255,970.53,1176,3.00%,563,1.43%,,,
Hawaiian/Pacific Islander,470,64,1361.70,4,6.25%,0,0.00%,,,
Other ,12229,1791,1464.55,23,1.28%,4,0.22%,,,
Unknown,N/A,5724,N/A,30,0.52%,28,0.49%,,,
,,,,,,,,,,
Hispanic,20694,2775,1340.97,73,2.63%,6,0.22%,,,
Non-Hispanic,449619,39328,874.70,1279,3.25%,581,1.48%,,,
Unknown,N/A,9291,N/A,58,0.62%,59,0.64%,,,
,,,,,,,,,,
Total,"470,313",51394,1092.76,1410,2.74%,646,1.26%,,,
