,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5489,566.89,25,0.46%,0,0.00%,,,
18-44,"173,546",22530,1298.21,164,0.73%,11,0.05%,,,
45-64,"116,740",12054,1032.55,327,2.71%,78,0.65%,,,
65-74,"40,633",3426,843.16,273,7.97%,124,3.62%,,,
75+,"28,440",2506,881.15,434,17.32%,309,12.33%,,,
,,,,,,,,,,
Females,242211,24338,1004.83,621,2.55%,235,0.97%,,,
Males,228102,21293,933.49,599,2.81%,287,1.35%,,,
Unknown,N/A,374,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,548,485.51,12,2.19%,4,0.73%,,,
Black,41858,3370,805.10,134,3.98%,33,0.98%,,,
White,404469,34201,845.58,1021,2.99%,434,1.27%,,,
Hawaiian/Pacific Islander,470,54,1148.94,4,7.41%,1,1.85%,,,
Other ,12229,1483,1212.69,19,1.28%,3,0.20%,,,
Unknown,N/A,6349,N/A,33,0.52%,47,0.74%,,,
,,,,,,,,,,
Hispanic,20694,2520,1217.74,67,2.66%,10,0.40%,,,
Non-Hispanic,449619,33206,738.54,1092,3.29%,447,1.35%,,,
Unknown,N/A,10279,N/A,64,0.62%,65,0.63%,,,
,,,,,,,,,,
Total,"470,313",46005,978.18,1223,2.66%,522,1.13%,,,
