,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,11899,1225.60,42,0.35%,0,0.00%
18-44,183183,33472,1827.24,219,0.65%,25,0.07%
45-64,116628,17296,1483.01,443,2.56%,138,0.80%
65-74,46724,4683,1002.27,407,8.69%,187,3.99%
75+,31987,3179,993.84,569,17.90%,422,13.27%
,,,,,,,
Females,244460,37372,1528.76,847,2.27%,344,0.92%
Males,231149,32553,1408.31,830,2.55%,428,1.31%
Unknown,N/A,604,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,746,635.60,16,2.14%,6,0.80%
Black,42291,5766,1363.41,208,3.61%,66,1.14%
White,408000,50410,1235.54,1388,2.75%,666,1.32%
Hawaiian/Pacific Islander,585,83,1418.80,4,4.82%,0,0.00%
Other ,12996,3329,2561.56,29,0.87%,5,0.15%
Unknown,N/A,10195,N/A,35,0.34%,29,0.28%
,,,,,,,
Hispanic,22336,3244,1452.36,80,2.47%,11,0.34%
Non-Hispanic,453273,48753,1075.58,1522,3.12%,695,1.43%
Unknown,N/A,18532,N/A,78,0.42%,66,0.36%
,,,,,,,
Total,"475,609",70529,1482.92,1680,2.38%,772,1.09%
