,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",4722,487.68,22,0.47%,0,0.00%,,,
18-44,"173,546",20501,1181.30,150,0.73%,10,0.05%,,,
45-64,"116,740",10909,934.47,299,2.74%,67,0.61%,,,
65-74,"40,633",3096,761.94,236,7.62%,101,3.26%,,,
75+,"28,440",2292,805.91,389,16.97%,262,11.43%,,,
,,,,,,,,,,
Females,242211,21932,905.49,560,2.55%,193,0.88%,,,
Males,228102,19216,842.43,533,2.77%,247,1.29%,,,
Unknown,N/A,372,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,458,405.78,11,2.40%,3,0.66%,,,
Black,41858,3019,721.25,122,4.04%,31,1.03%,,,
White,404469,30356,750.51,905,2.98%,358,1.18%,,,
Hawaiian/Pacific Islander,470,48,1021.28,4,8.33%,1,2.08%,,,
Other ,12229,1266,1035.24,18,1.42%,3,0.24%,,,
Unknown,N/A,6373,N/A,36,0.56%,44,0.69%,,,
,,,,,,,,,,
Hispanic,20694,2334,1127.86,62,2.66%,9,0.39%,,,
Non-Hispanic,449619,28890,642.54,972,3.36%,377,1.30%,,,
Unknown,N/A,10296,N/A,62,0.60%,54,0.52%,,,
,,,,,,,,,,
Total,"470,313",41520,882.82,1096,2.64%,440,1.06%,,,
