,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",4785,494.19,23,0.48%,0,0.00%,,,
18-44,"173,546",20671,1191.10,150,0.73%,10,0.05%,,,
45-64,"116,740",10999,942.18,302,2.75%,68,0.62%,,,
65-74,"40,633",3115,766.62,239,7.67%,104,3.34%,,,
75+,"28,440",2302,809.42,394,17.12%,264,11.47%,,,
,,,,,,,,,,
Females,242211,22121,913.29,567,2.56%,199,0.90%,,,
Males,228102,19378,849.53,538,2.78%,247,1.27%,,,
Unknown,N/A,373,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,465,411.98,11,2.37%,3,0.65%,,,
Black,41858,3048,728.18,122,4.00%,31,1.02%,,,
White,404469,30593,756.37,917,3.00%,364,1.19%,,,
Hawaiian/Pacific Islander,470,50,1063.83,4,8.00%,1,2.00%,,,
Other ,12229,1343,1098.21,18,1.34%,3,0.22%,,,
Unknown,N/A,6373,N/A,12,0.19%,44,0.69%,,,
,,,,,,,,,,
Hispanic,20694,2343,1132.21,62,2.65%,9,0.38%,,,
Non-Hispanic,449619,29093,647.06,981,3.37%,383,1.32%,,,
Unknown,N/A,10436,N/A,5,0.05%,54,0.52%,,,
,,,,,,,,,,
Total,"470,313",41872,890.30,1100,2.63%,446,1.07%,,,
