,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1124,116.08,10,0.89%,0,0.00%,,,
18-44,"173,546",6448,371.54,100,1.55%,5,0.08%,,,
45-64,"116,740",2279,195.22,131,5.75%,20,0.88%,,,
65-74,"40,633",597,146.92,64,10.72%,21,3.52%,,,
75+,"28,440",368,129.40,79,21.47%,39,10.60%,,,
,,,,,,,,,,
Females,242211,5579,230.34,202,3.62%,29,0.52%,,,
Males,228102,5180,227.09,182,3.51%,56,1.08%,,,
Unknown,N/A,57,N/A,0,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,129,114.29,2,1.55%,0,0.00%,,,
Black,41858,1063,253.95,76,7.15%,14,1.32%,,,
White,404469,8068,199.47,285,3.53%,67,0.83%,,,
Hawaiian/Pacific Islander,470,28,595.74,4,14.29%,0,0.00%,,,
Other ,12229,469,383.51,10,2.13%,2,0.43%,,,
Unknown,N/A,1059,N/A,7,0.66%,2,0.19%,,,
,,,,,,,,,,
Hispanic,20694,1208,583.74,48,3.97%,4,0.33%,,,
Non-Hispanic,449619,8406,186.96,326,3.88%,75,0.89%,,,
Unknown,N/A,1202,N/A,10,0.83%,6,0.50%,,,
,,,,,,,,,,
Total,"470,313",10816,229.97,384,3.55%,85,0.79%,,,
