,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,15414,1587.65,53,0.34%,0,0.00%
18-44,183183,44388,2423.15,298,0.67%,48,0.11%
45-64,116628,22700,1946.36,663,2.92%,230,1.01%
65-74,46724,6142,1314.53,550,8.95%,257,4.18%
75+,31987,4079,1275.21,729,17.87%,543,13.31%
,,,,,,,
Females,244460,49362,2019.23,1146,2.32%,487,0.99%
Males,231149,42621,1843.88,1144,2.68%,591,1.39%
Unknown,N/A,740,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,1054,898.01,20,1.90%,7,0.66%
Black,42291,7711,1823.32,280,3.63%,99,1.28%
White,408000,66494,1629.75,1898,2.85%,931,1.40%
Hawaiian/Pacific Islander,585,108,1846.15,5,4.63%,1,0.93%
Other ,12996,4779,3677.29,39,0.82%,6,0.13%
Unknown,N/A,12577,N/A,51,0.41%,34,0.27%
,,,,,,,
Hispanic,22336,3836,1717.41,93,2.42%,17,0.44%
Non-Hispanic,453273,63362,1397.88,2078,3.28%,976,1.54%
Unknown,N/A,25525,N/A,122,0.48%,85,0.33%
,,,,,,,
Total,"475,609",92723,1949.56,2293,2.47%,1078,1.16%
