,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5366,554.19,24,0.45%,0,0.00%,,,
18-44,"173,546",22179,1277.99,161,0.73%,11,0.05%,,,
45-64,"116,740",11835,1013.79,320,2.70%,77,0.65%,,,
65-74,"40,633",3365,828.14,262,7.79%,121,3.60%,,,
75+,"28,440",2460,864.98,428,17.40%,305,12.40%,,,
,,,,,,,,,,
Females,242211,23931,988.02,610,2.55%,232,0.97%,,,
Males,228102,20905,916.48,582,2.78%,282,1.35%,,,
Unknown,N/A,369,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,537,475.77,12,2.23%,4,0.74%,,,
Black,41858,3299,788.14,130,3.94%,33,1.00%,,,
White,404469,33415,826.14,996,2.98%,426,1.27%,,,
Hawaiian/Pacific Islander,470,52,1106.38,4,7.69%,1,1.92%,,,
Other ,12229,1445,1181.62,19,1.31%,3,0.21%,,,
Unknown,N/A,6457,N/A,34,0.53%,47,0.73%,,,
,,,,,,,,,,
Hispanic,20694,2488,1202.28,67,2.69%,10,0.40%,,,
Non-Hispanic,449619,32143,714.89,1063,3.31%,440,1.37%,,,
Unknown,N/A,10574,N/A,65,0.61%,64,0.61%,,,
,,,,,,,,,,
Total,"470,313",45205,961.17,1195,2.64%,514,1.14%,,,
