,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1101,113.71,10,0.91%,0,0.00%,,,
18-44,"173,546",6348,365.78,99,1.56%,5,0.08%,,,
45-64,"116,740",2221,190.25,131,5.90%,20,0.90%,,,
65-74,"40,633",577,142.00,64,11.09%,21,3.64%,,,
75+,"28,440",363,127.64,78,21.49%,39,10.74%,,,
,,,,,,,,,,
Females,242211,5467,225.71,201,3.68%,29,0.53%,,,
Males,228102,5087,223.01,181,3.56%,56,1.10%,,,
Unknown,N/A,56,N/A,0,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,128,113.40,2,1.56%,0,0.00%,,,
Black,41858,1051,251.09,74,7.04%,14,1.33%,,,
White,404469,7968,197.00,285,3.58%,67,0.84%,,,
Hawaiian/Pacific Islander,470,28,595.74,4,14.29%,0,0.00%,,,
Other ,12229,467,381.88,10,2.14%,2,0.43%,,,
Unknown,N/A,968,N/A,7,0.72%,2,0.21%,,,
,,,,,,,,,,
Hispanic,20694,1208,583.74,48,3.97%,4,0.33%,,,
Non-Hispanic,449619,8313,184.89,324,3.90%,75,0.90%,,,
Unknown,N/A,1089,N/A,10,0.92%,6,0.55%,,,
,,,,,,,,,,
Total,"470,313",10610,225.59,382,3.60%,85,0.80%,,,
