,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1640,169.38,11,0.67%,0,0.00%,,,
18-44,"173,546",8573,493.99,119,1.39%,5,0.06%,,,
45-64,"116,740",3517,301.27,167,4.75%,23,0.65%,,,
65-74,"40,633",951,234.05,87,9.15%,28,2.94%,,,
75+,"28,440",619,217.65,120,19.39%,65,10.50%,,,
,,,,,,,,,,
Females,242211,7962,328.72,263,3.30%,41,0.51%,,,
Males,228102,7226,316.79,239,3.31%,80,1.11%,,,
Unknown,N/A,112,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,161,142.64,4,2.48%,0,0.00%,,,
Black,41858,1318,314.87,85,6.45%,17,1.29%,,,
White,404469,11350,280.61,389,3.43%,100,0.88%,,,
Hawaiian/Pacific Islander,470,32,680.85,4,12.50%,0,0.00%,,,
Other ,12229,555,453.84,13,2.34%,2,0.36%,,,
Unknown,N/A,1884,N/A,9,0.48%,2,0.11%,,,
,,,,,,,,,,
Hispanic,20694,1364,659.13,49,3.59%,4,0.29%,,,
Non-Hispanic,449619,11592,257.82,444,3.83%,108,0.93%,,,
Unknown,N/A,2344,N/A,11,0.47%,9,0.38%,,,
,,,,,,,,,,
Total,"470,313",15300,325.32,504,3.29%,121,0.79%,,,
