,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",4933,509.47,22,0.45%,0,0.00%,,,
18-44,"173,546",21077,1214.49,153,0.73%,10,0.05%,,,
45-64,"116,740",11235,962.40,309,2.75%,70,0.62%,,,
65-74,"40,633",3193,785.81,246,7.70%,113,3.54%,,,
75+,"28,440",2339,822.43,403,17.23%,283,12.10%,,,
,,,,,,,,,,
Females,242211,22608,933.40,578,2.56%,218,0.96%,,,
Males,228102,19800,868.03,551,2.78%,258,1.30%,,,
Unknown,N/A,369,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,495,438.56,11,2.22%,3,0.61%,,,
Black,41858,3103,741.32,124,4.00%,33,1.06%,,,
White,404469,31395,776.20,942,3.00%,390,1.24%,,,
Hawaiian/Pacific Islander,470,50,1063.83,4,8.00%,1,2.00%,,,
Other ,12229,1361,1112.93,18,1.32%,3,0.22%,,,
Unknown,N/A,6373,N/A,34,0.53%,46,0.72%,,,
,,,,,,,,,,
Hispanic,20694,2376,1148.16,62,2.61%,9,0.38%,,,
Non-Hispanic,449619,30047,668.28,1012,3.37%,409,1.36%,,,
Unknown,N/A,10354,N/A,59,0.57%,58,0.56%,,,
,,,,,,,,,,
Total,"470,313",42777,909.54,1133,2.65%,476,1.11%,,,
