,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5506,568.65,25,0.45%,0,0.00%,,,
18-44,"173,546",22599,1302.19,164,0.73%,11,0.05%,,,
45-64,"116,740",12084,1035.12,328,2.71%,78,0.65%,,,
65-74,"40,633",3429,843.90,274,7.99%,124,3.62%,,,
75+,"28,440",2508,881.86,435,17.34%,309,12.32%,,,
,,,,,,,,,,
Females,242211,24395,1007.18,621,2.55%,235,0.96%,,,
Males,228102,21360,936.42,602,2.82%,287,1.34%,,,
Unknown,N/A,371,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,551,488.17,12,2.18%,4,0.73%,,,
Black,41858,3376,806.54,134,3.97%,33,0.98%,,,
White,404469,34298,847.98,1023,2.98%,434,1.27%,,,
Hawaiian/Pacific Islander,470,54,1148.94,4,7.41%,1,1.85%,,,
Other ,12229,1481,1211.06,20,1.35%,3,0.20%,,,
Unknown,N/A,6366,N/A,33,0.52%,47,0.74%,,,
,,,,,,,,,,
Hispanic,20694,2524,1219.68,68,2.69%,10,0.40%,,,
Non-Hispanic,449619,33299,740.60,1093,3.28%,447,1.34%,,,
Unknown,N/A,10303,N/A,65,0.63%,65,0.63%,,,
,,,,,,,,,,
Total,"470,313",46126,980.75,1226,2.66%,522,1.13%,,,
