,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5804,599.43,27,0.47%,0,0.00%,,,
18-44,"173,546",23505,1354.40,170,0.72%,10,0.04%,,,
45-64,"116,740",12674,1085.66,346,2.73%,81,0.64%,,,
65-74,"40,633",3591,883.76,293,8.16%,139,3.87%,,,
75+,"28,440",2576,905.77,453,17.59%,364,14.13%,,,
,,,,,,,,,,
Females,242211,25512,1053.30,648,2.54%,271,1.06%,,,
Males,228102,22294,977.37,637,2.86%,323,1.45%,,,
Unknown,N/A,344,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,583,516.52,13,2.23%,5,0.86%,,,
Black,41858,3585,856.47,143,3.99%,35,0.98%,,,
White,404469,36432,900.74,1076,2.95%,523,1.44%,,,
Hawaiian/Pacific Islander,470,58,1234.04,4,6.90%,0,0.00%,,,
Other ,12229,1552,1269.11,22,1.42%,3,0.19%,,,
Unknown,N/A,5940,N/A,31,0.52%,28,0.47%,,,
,,,,,,,,,,
Hispanic,20694,2614,1263.17,71,2.72%,6,0.23%,,,
Non-Hispanic,449619,35991,800.48,1165,3.24%,531,1.48%,,,
Unknown,N/A,9545,N/A,53,0.56%,57,0.60%,,,
,,,,,,,,,,
Total,"470,313",48150,1023.79,1289,2.68%,594,1.23%,,,
